museum.type,museum.value,coord.datatype,coord.type,coord.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value
uri,http://www.wikidata.org/entity/Q2339243,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(29.216396 50.477624),en,literal,Museum of Ukrainian home icons,en,literal,Radomyshl
uri,http://www.wikidata.org/entity/Q4314838,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.382774 45.032333),en,literal,Feodosia National Gallery I. K. Aivazovsky,en,literal,Feodosiia
uri,http://www.wikidata.org/entity/Q3088188,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(24.709166666 48.923611111),en,literal,Ivano-Frankivsk Regional Art Museum,en,literal,Ivano-Frankivsk
uri,http://www.wikidata.org/entity/Q3399806,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.5190221 50.4581578),en,literal,"Museum ""Cultural wealth of Ukraine""",en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q3406883,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.554 50.4382),en,literal,Memorial in Commemoration of Famines' Victims in Ukraine,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q4370842,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.5555 49.5896),en,literal,Poltava Art Museum,en,literal,Poltava
uri,http://www.wikidata.org/entity/Q3398899,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.514166666 50.464027777),en,literal,Pharmacy Museum in Kyiv,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q4497357,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.61 46.62917),en,literal,Kherson Museum of Local Lore,en,literal,Kherson
uri,http://www.wikidata.org/entity/Q12166962,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.2281 50.0007),en,literal,Kharkiv Dolphinarium,en,literal,Kharkiv
uri,http://www.wikidata.org/entity/Q4537469,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.118333333 44.494444444),en,literal,Yalta Zoo,en,literal,Yalta
uri,http://www.wikidata.org/entity/Q21384934,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.7428655 46.4853032),en,literal,Maritime Museum,en,literal,Odesa
uri,http://www.wikidata.org/entity/Q4281584,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.5575 47.09277778),en,literal,Mariupol Museum of Local Lore,en,literal,Mariupol
uri,http://www.wikidata.org/entity/Q3399851,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.500753 50.440004),en,literal,Lesya Ukrainka Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q4166225,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.78805 47.99261),en,literal,Dolphinarium in Donetsk,en,literal,Donetsk
uri,http://www.wikidata.org/entity/Q2339097,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.53158333 50.45263889),en,literal,Kyiv Water Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q619438,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.780416537 48.200748363),en,literal,Muravskyi museum,en,literal,Dmytrashkivka
uri,http://www.wikidata.org/entity/Q4320477,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.036111111 46.961111111),en,literal,Nikolaev Zoo,en,literal,Mykolaiv
uri,http://www.wikidata.org/entity/Q4440427,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(27.22 49.7553),uk,literal,Старокостянтинівський районний історико-краєзнавчий музей,en,literal,Starokostiantyniv
uri,http://www.wikidata.org/entity/Q1139126,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.557013 50.434322),en,literal,National Museum of Ukrainian Decorative Folk Art,en,literal,Lavrska Street
uri,http://www.wikidata.org/entity/Q16689333,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.353399681 45.17948421),uk,literal,Євпаторійський дельфінарій,en,literal,Yevpatoriia
uri,http://www.wikidata.org/entity/Q1428076,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.514444 50.441111),en,literal,Khanenko Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q4070452,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(38.0001 48.596),en,literal,Bakhmut State Museum of Local Lore,en,literal,Bakhmut
uri,http://www.wikidata.org/entity/Q4281584,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.5575 47.09277778),en,literal,Mariupol Museum of Local Lore,en,literal,Donetsk Oblast
uri,http://www.wikidata.org/entity/Q84571237,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.466944 49.233333),uk,literal,Музей моделей транспорту,en,literal,Vinnytsia
uri,http://www.wikidata.org/entity/Q3398488,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.516028 50.466806),en,literal,Alex Art House,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q4186921,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.13388889 47.84333333),en,literal,Zaporizhzhia Regional Art Museum,en,literal,Zaporizhzhia
uri,http://www.wikidata.org/entity/Q538095,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.67758333 50.253),en,literal,Sergei Pavlovich Korolyov Museum of Cosmonautics,en,literal,Zhytomyr
uri,http://www.wikidata.org/entity/Q12123475,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.943906439 50.025560732),en,literal,Myrhorodsʹkyĭ krai͡eznavchyĭ muzeĭ,en,literal,Myrhorod Raion
uri,http://www.wikidata.org/entity/Q3399758,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.5866 50.4665),en,literal,Museum of useless things,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q2621094,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.12056 44.94278),en,literal,Scythian Neapolis,en,literal,Simferopol
uri,http://www.wikidata.org/entity/Q4482814,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.3829 45.0314),en,literal,Feodosia local museum,en,literal,Feodosiia
uri,http://www.wikidata.org/entity/Q12104642,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.655474 50.254927),en,literal,Zhytomyr Regional Museum,en,literal,Zhytomyr
uri,http://www.wikidata.org/entity/Q12140604,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.5136 50.2416),uk,literal,Пирятинський районний народний краєзнавчий музей,en,literal,Poltava Oblast
uri,http://www.wikidata.org/entity/Q12080999,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.025186992 48.909932898),en,literal,Barvinkivsky Museum of Local History,en,literal,Barvinkove
uri,http://www.wikidata.org/entity/Q12168040,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.298289859 48.172970041),uk,literal,Хустський краєзнавчий музей,en,literal,Khust
uri,http://www.wikidata.org/entity/Q12097114,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.56666 49.17193),uk,literal,Городоцький краєзнавчий музей,en,literal,Horodok
