item.type,item.value,image.type,image.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value,typeLabel.xml:lang,typeLabel.type,typeLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value,creatorLabel.xml:lang,creatorLabel.type,creatorLabel.value,collectionLabel.xml:lang,collectionLabel.type,collectionLabel.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,name_norm,creator_norm
uri,http://www.wikidata.org/entity/Q2326566,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Odesa%20Oblast.svg,en,literal,flag of Odesa Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of odesa oblast,
uri,http://www.wikidata.org/entity/Q2445201,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Mugnist-1.jpg,en,literal,Order for Courage,en,literal,order,,,,,,,,,,,,,order for courage,
uri,http://www.wikidata.org/entity/Q1232436,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A1%D0%B5%D0%B2%D0%B0%D1%81%D1%82%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C.%20%D0%9F%D0%B0%D0%BD%D0%BE%D1%80%D0%B0%D0%BC%D0%B0%20%D0%9E%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%20%D0%A1%D0%B5%D0%B2%D0%B0%D1%81%D1%82%D0%BE%D0%BF%D0%BE%D0%BB%D1%8F%20%281%29.jpg,en,literal,Siege of Sevastopol,en,literal,cultural property,en,literal,Sevastopol,en,literal,Franz Roubaud,,,,,,,siege of sevastopol,franz roubaud
uri,http://www.wikidata.org/entity/Q2774900,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lviv%20Oblast.svg,en,literal,flag of Lviv Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of lviv oblast,
uri,http://www.wikidata.org/entity/Q2024202,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Kharkiv.svg,en,literal,coat of arms of Kharkiv,en,literal,coat of arms,,,,,,,,,,,,,coat of arms of kharkiv,
uri,http://www.wikidata.org/entity/Q2658621,uri,http://commons.wikimedia.org/wiki/Special:FilePath/65%20ann%20WW2%20obverse.jpg,en,literal,"Jubilee Medal ""65 Years of Victory in the Great Patriotic War 1941–1945""",en,literal,jubilee medal,,,,,,,,,,,,,jubilee medal 65 years of victory in the great patriotic war 19411945,
uri,http://www.wikidata.org/entity/Q1427503,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Golden%20Gate%20Kiev%202018%20G1.jpg,en,literal,Golden Gate,en,literal,gate,,,,,,,,,,,,,golden gate,
uri,http://www.wikidata.org/entity/Q2469044,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Donetsk%20Oblast.svg,en,literal,flag of the Donetsk Region,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of the donetsk region,
uri,http://www.wikidata.org/entity/Q2377511,uri,http://commons.wikimedia.org/wiki/Special:FilePath/9.%D0%9A%D0%B8%D1%97%D0%B2%20%D0%A4%D0%BE%D0%BD%D1%82%D0%B0%D0%BD%20%C2%AB%D0%A1%D0%B0%D0%BC%D1%81%D0%BE%D0%BD%C2%BB%20%D0%B7%20%D1%80%D0%BE%D1%82%D0%BE%D0%BD%D0%B4%D0%BE%D1%8E.jpg,en,literal,Fountain of Samson,en,literal,monument,,,,,,,,,,,,,fountain of samson,
uri,http://www.wikidata.org/entity/Q3039049,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Svatovo1.png,en,literal,flag of Svatove,en,literal,municipal flag,,,,,,,,,,,,,flag of svatove,
