artist_id,name,birth_date,death_date,description
Q4439886,Vladimir Starikov,1952-12-29T00:00:00Z,,Ukrainian writer
Q4057275,Stanislav Adamenko,1949-07-31T00:00:00Z,,Ukrainian painter
Q4093910,Irina Borisova,1952-11-30T00:00:00Z,,artist
Q4075470,Байдуков Олександр Васильович,1923-07-10T00:00:00Z,2005-11-28T00:00:00Z,painter (1923-2005)
Q4080684,Sergey Bedusenko,1952-05-10T00:00:00Z,,"Soviet composer, poet and pianist"
Q4458163,Oleg Tistol,1960-08-25T00:00:00Z,,painter (born 1960)
Q4452162,Тартаковський Ісак Йосипович,1912-04-25T00:00:00Z,2002-06-18T00:00:00Z,Ukrainian painter (1912-2002)
Q4056935,Ruslan Agirba,1957-09-27T00:00:00Z,,Ukrainian painter
Q4266593,Лопата Василь Іванович,1941-04-28T00:00:00Z,2025-09-18T00:00:00Z,Ukrainian painter
Q4078966,Petro Basanets,1926-04-23T00:00:00Z,2007-10-16T00:00:00Z,Soviet painter (1926-2007)
Q4081323,Evelina Beketova,1976-01-01T00:00:00Z,,Ukrainian painter
Q4081868,Platon Biletskyi,1922-11-08T00:00:00Z,1998-05-06T00:00:00Z,Soviet painter (1922-1998)
Q4237356,Volodymyr Kravchenko,1947-07-07T00:00:00Z,2016-12-15T00:00:00Z,Ukrainian painter (1947-2016)
Q4090596,Andriy Bokotei,1938-03-21T00:00:00Z,,Ukrainian painter
Q4423365,Oleh Slieptsov,1958-01-18T00:00:00Z,,Ukrainian architect
Q4427929,Yuri Anisimovich Solovei,1949-05-23T00:00:00Z,,Ukrainian painter and actor
Q4240772,Anatoliy Kryvolap,1946-09-11T00:00:00Z,,Ukrainian painter
Q4256797,Mykhailo Levchenko,1977-01-01T00:00:00Z,,Ukrainian production designer
Q4422663,Marina Skugareva,1962-03-02T00:00:00Z,,Ukrainian artist (born 1962)
Q4088748,Gleb Bobrov,1964-09-16T00:00:00Z,,Soviet journalist and writer
Q4246197,Vitaly Kulikov,1935-10-27T00:00:00Z,2015-01-06T00:00:00Z,Soviet artist and painter (1935-2015)
Q4262955,Oleg Lipchenko,1957-07-13T00:00:00Z,,Canadian artist
Q4256790,Aleksey Levchenko,1948-07-18T00:00:00Z,2020-09-16T00:00:00Z,"Soviet and Ukrainian painter, film director, screenwriter (1948-2020)"
Q4065227,Alex And,1962-01-09T00:00:00Z,,Ukrainian painter
