museum.type,museum.value,coord.datatype,coord.type,coord.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value
uri,http://www.wikidata.org/entity/Q51755541,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.614773373 46.634556348),en,literal,Kherson Nature Museum,en,literal,Kherson
uri,http://www.wikidata.org/entity/Q130085865,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.925583 47.17125),uk,literal,Великолепетиський районний народний краєзнавчий музей ім. О. І. Ціпко,en,literal,Velyka Lepetykha
uri,http://www.wikidata.org/entity/Q28704414,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.996837 50.3685127),uk,literal,Гадяцький історико-краєзнавчий музей,en,literal,Hadiach
uri,http://www.wikidata.org/entity/Q124758163,,,,uk,literal,Великобурлуцький краєзнавчий музей,en,literal,Velykyi Burluk
uri,http://www.wikidata.org/entity/Q65205801,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.622222222 49.841388888),en,literal,Valky museum of local history,en,literal,Valky
uri,http://www.wikidata.org/entity/Q1055311,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.143611111 44.467777777),en,literal,Livadia Palace,en,literal,Livadiya
uri,http://www.wikidata.org/entity/Q111918387,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.276944444 49.253055555),uk,literal,Білицький народний музей історії та художньо-ужиткового мистецтва,en,literal,Bilyky
uri,http://www.wikidata.org/entity/Q1974519,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.731667 46.4675),en,literal,Odesa Zoo,en,literal,Odesa
uri,http://www.wikidata.org/entity/Q4306356,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.487055555 50.439944444),en,literal,Kyiv railway transport museum,en,literal,Solomianka Raion
uri,http://www.wikidata.org/entity/Q4306356,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.48672778 50.44023611),en,literal,Kyiv railway transport museum,en,literal,Solomianka Raion
uri,http://www.wikidata.org/entity/Q4496329,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.24 49.9991),en,literal,Kharkiv Maritime Museum,en,literal,Kharkiv
